;t;Pga;(Po-Pa);(Pk-Pa);(Po-Pk);DPg;DPL;sigm;Q;Qgk;MgSH;Pэкран
55;5,50000E-3 ;9,03322E+0 ;1,48461E+0 ;1,36091E+0 ;2,51684E+0 ;7,36000E-2 ;4,82155E-1 ;1,33940E+0 ;2,27090E+0 ;1,09493E-3 ;1,70656E-4 ;8,00726E-1 
56;5,60000E-3 ;9,03322E+0 ;1,48665E+0 ;1,36091E+0 ;2,51888E+0 ;7,36000E-2 ;4,82155E-1 ;1,33653E+0 ;2,27090E+0 ;1,09493E-3 ;1,70656E-4 ;8,08612E-1 
57;5,70000E-3 ;9,03322E+0 ;1,48410E+0 ;1,36091E+0 ;2,51633E+0 ;7,36000E-2 ;4,82155E-1 ;1,33510E+0 ;2,27090E+0 ;1,09493E-3 ;1,70656E-4 ;7,30470E-1 
58;5,80000E-3 ;9,03322E+0 ;1,48105E+0 ;1,36378E+0 ;2,51328E+0 ;7,36000E-2 ;4,82155E-1 ;1,33008E+0 ;2,26613E+0 ;1,09262E-3 ;1,70656E-4 ;7,24018E-1 
59;5,90000E-3 ;9,03322E+0 ;1,47952E+0 ;1,36593E+0 ;2,51175E+0 ;7,36000E-2 ;4,82155E-1 ;1,33367E+0 ;2,26256E+0 ;1,09090E-3 ;1,70656E-4 ;9,08265E-1 
60;6,00000E-3 ;9,03322E+0 ;1,47595E+0 ;1,36880E+0 ;2,50818E+0 ;7,36000E-2 ;4,82155E-1 ;1,33367E+0 ;2,25782E+0 ;1,08862E-3 ;1,70656E-4 ;1,10613E+0 
61;6,10000E-3 ;9,03322E+0 ;1,47493E+0 ;1,36449E+0 ;2,50716E+0 ;7,36000E-2 ;4,82155E-1 ;1,33510E+0 ;2,26494E+0 ;1,09205E-3 ;1,70656E-4 ;1,07172E+0 
62;6,20000E-3 ;9,03322E+0 ;1,47595E+0 ;1,37525E+0 ;2,50818E+0 ;7,36000E-2 ;4,82155E-1 ;1,33367E+0 ;2,24723E+0 ;1,08351E-3 ;1,70656E-4 ;1,13338E+0 
63;6,30000E-3 ;9,03322E+0 ;1,47442E+0 ;1,37023E+0 ;2,50665E+0 ;7,36000E-2 ;4,82155E-1 ;1,33438E+0 ;2,25546E+0 ;1,08748E-3 ;1,70656E-4 ;1,15560E+0 
64;6,40000E-3 ;9,03322E+0 ;1,46831E+0 ;1,37238E+0 ;2,50054E+0 ;7,36000E-2 ;4,82155E-1 ;1,33367E+0 ;2,25192E+0 ;1,08578E-3 ;1,70656E-4 ;1,21367E+0 
65;6,50000E-3 ;9,03322E+0 ;1,46882E+0 ;1,37453E+0 ;2,50105E+0 ;7,36000E-2 ;4,82155E-1 ;1,33223E+0 ;2,24840E+0 ;1,08408E-3 ;1,70656E-4 ;1,36924E+0 
66;6,60000E-3 ;9,03322E+0 ;1,46627E+0 ;1,37597E+0 ;2,49850E+0 ;7,36000E-2 ;4,82155E-1 ;1,32937E+0 ;2,24606E+0 ;1,08295E-3 ;1,70656E-4 ;1,34702E+0 
67;6,70000E-3 ;9,03322E+0 ;1,46321E+0 ;1,37382E+0 ;2,49544E+0 ;7,36000E-2 ;4,82155E-1 ;1,33438E+0 ;2,24957E+0 ;1,08464E-3 ;1,70656E-4 ;1,13983E+0 
68;6,80000E-3 ;9,03322E+0 ;1,46321E+0 ;1,37238E+0 ;2,49544E+0 ;7,36000E-2 ;4,82155E-1 ;1,33725E+0 ;2,25192E+0 ;1,08578E-3 ;1,70656E-4 ;1,02010E+0 
69;6,90000E-3 ;9,03322E+0 ;1,45965E+0 ;1,37453E+0 ;2,49188E+0 ;7,36000E-2 ;4,82155E-1 ;1,33510E+0 ;2,24840E+0 ;1,08408E-3 ;1,70656E-4 ;9,48411E-1 
70;7,00000E-3 ;9,03322E+0 ;1,46015E+0 ;1,38098E+0 ;2,49238E+0 ;7,36000E-2 ;4,82155E-1 ;1,34084E+0 ;2,23790E+0 ;1,07901E-3 ;1,70656E-4 ;8,77436E-1 
71;7,10000E-3 ;9,03322E+0 ;1,45965E+0 ;1,38170E+0 ;2,49188E+0 ;7,36000E-2 ;4,82155E-1 ;1,33510E+0 ;2,23673E+0 ;1,07845E-3 ;1,70656E-4 ;7,69183E-1 
72;7,20000E-3 ;9,03322E+0 ;1,45710E+0 ;1,38242E+0 ;2,48933E+0 ;7,36000E-2 ;4,82155E-1 ;1,33295E+0 ;2,23557E+0 ;1,07789E-3 ;1,70656E-4 ;6,55194E-1 
73;7,30000E-3 ;9,03322E+0 ;1,45914E+0 ;1,38242E+0 ;2,49137E+0 ;7,36000E-2 ;4,82155E-1 ;1,33653E+0 ;2,23557E+0 ;1,07789E-3 ;1,70656E-4 ;5,49089E-1 
74;7,40000E-3 ;9,03322E+0 ;1,45965E+0 ;1,38313E+0 ;2,49188E+0 ;7,36000E-2 ;4,82155E-1 ;1,33653E+0 ;2,23442E+0 ;1,07733E-3 ;1,70656E-4 ;5,96407E-1 
75;7,50000E-3 ;9,03322E+0 ;1,45761E+0 ;1,38457E+0 ;2,48984E+0 ;7,36000E-2 ;4,82155E-1 ;1,33653E+0 ;2,23210E+0 ;1,07622E-3 ;1,70656E-4 ;6,93907E-1 
76;7,60000E-3 ;9,03322E+0 ;1,46117E+0 ;1,38098E+0 ;2,49340E+0 ;7,36000E-2 ;4,82155E-1 ;1,33869E+0 ;2,23790E+0 ;1,07901E-3 ;1,70656E-4 ;7,42657E-1 
77;7,70000E-3 ;9,03322E+0 ;1,46015E+0 ;1,38170E+0 ;2,49238E+0 ;7,36000E-2 ;4,82155E-1 ;1,33940E+0 ;2,23673E+0 ;1,07845E-3 ;1,70656E-4 ;7,00359E-1 
78;7,80000E-3 ;9,03322E+0 ;1,46067E+0 ;1,38242E+0 ;2,49290E+0 ;7,36000E-2 ;4,82155E-1 ;1,33438E+0 ;2,23557E+0 ;1,07789E-3 ;1,70656E-4 ;6,60928E-1 
79;7,90000E-3 ;9,03322E+0 ;1,46270E+0 ;1,38600E+0 ;2,49493E+0 ;7,36000E-2 ;4,82155E-1 ;1,33797E+0 ;2,22979E+0 ;1,07510E-3 ;1,70656E-4 ;6,27234E-1 
80;8,00000E-3 ;9,03322E+0 ;1,46627E+0 ;1,38744E+0 ;2,49850E+0 ;7,36000E-2 ;4,82155E-1 ;1,33940E+0 ;2,22749E+0 ;1,07399E-3 ;1,70656E-4 ;6,37987E-1 
81;8,10000E-3 ;9,03322E+0 ;1,46729E+0 ;1,39174E+0 ;2,49952E+0 ;7,36000E-2 ;4,82155E-1 ;1,33438E+0 ;2,22060E+0 ;1,07067E-3 ;1,70656E-4 ;7,54845E-1 
82;8,20000E-3 ;9,03322E+0 ;1,46729E+0 ;1,38529E+0 ;2,49952E+0 ;7,36000E-2 ;4,82155E-1 ;1,33152E+0 ;2,23094E+0 ;1,07566E-3 ;1,70656E-4 ;8,47326E-1 
83;8,30000E-3 ;9,03322E+0 ;1,46780E+0 ;1,38887E+0 ;2,50003E+0 ;7,36000E-2 ;4,82155E-1 ;1,33295E+0 ;2,22519E+0 ;1,07289E-3 ;1,70656E-4 ;8,56646E-1 
84;8,40000E-3 ;9,03322E+0 ;1,47442E+0 ;1,38959E+0 ;2,50665E+0 ;7,36000E-2 ;4,82155E-1 ;1,33438E+0 ;2,22404E+0 ;1,07233E-3 ;1,70656E-4 ;9,67052E-1 
85;8,50000E-3 ;9,03322E+0 ;1,46933E+0 ;1,39604E+0 ;2,50156E+0 ;7,36000E-2 ;4,82155E-1 ;1,33223E+0 ;2,21376E+0 ;1,06737E-3 ;1,70656E-4 ;1,04161E+0 
86;8,60000E-3 ;9,03322E+0 ;1,47391E+0 ;1,38959E+0 ;2,50614E+0 ;7,36000E-2 ;4,82155E-1 ;1,33438E+0 ;2,22404E+0 ;1,07233E-3 ;1,70656E-4 ;1,02225E+0 
87;8,70000E-3 ;9,03322E+0 ;1,47340E+0 ;1,39102E+0 ;2,50563E+0 ;7,36000E-2 ;4,82155E-1 ;1,33582E+0 ;2,22175E+0 ;1,07123E-3 ;1,70656E-4 ;9,68485E-1 
88;8,80000E-3 ;9,03322E+0 ;1,47493E+0 ;1,38815E+0 ;2,50716E+0 ;7,36000E-2 ;4,82155E-1 ;1,33725E+0 ;2,22634E+0 ;1,07344E-3 ;1,70656E-4 ;9,31206E-1 
89;8,90000E-3 ;9,03322E+0 ;1,47646E+0 ;1,39245E+0 ;2,50869E+0 ;7,36000E-2 ;4,82155E-1 ;1,33797E+0 ;2,21946E+0 ;1,07012E-3 ;1,70656E-4 ;8,77436E-1 
90;9,00000E-3 ;9,03322E+0 ;1,47850E+0 ;1,39174E+0 ;2,51073E+0 ;7,36000E-2 ;4,82155E-1 ;1,34012E+0 ;2,22060E+0 ;1,07067E-3 ;1,70656E-4 ;7,63447E-1 
91;9,10000E-3 ;9,03322E+0 ;1,48258E+0 ;1,39676E+0 ;2,51481E+0 ;7,36000E-2 ;4,82155E-1 ;1,33653E+0 ;2,21263E+0 ;1,06683E-3 ;1,70656E-4 ;6,18632E-1 
92;9,20000E-3 ;9,03322E+0 ;1,48054E+0 ;1,39389E+0 ;2,51277E+0 ;7,36000E-2 ;4,82155E-1 ;1,33869E+0 ;2,21718E+0 ;1,06902E-3 ;1,70656E-4 ;4,89586E-1 
93;9,30000E-3 ;9,03322E+0 ;1,48207E+0 ;1,39819E+0 ;2,51430E+0 ;7,36000E-2 ;4,82155E-1 ;1,33582E+0 ;2,21036E+0 ;1,06573E-3 ;1,70656E-4 ;4,68796E-1 
94;9,40000E-3 ;9,03322E+0 ;1,48461E+0 ;1,39604E+0 ;2,51684E+0 ;7,36000E-2 ;4,82155E-1 ;1,34227E+0 ;2,21376E+0 ;1,06737E-3 ;1,70656E-4 ;4,89586E-1 
95;9,50000E-3 ;9,03322E+0 ;1,48360E+0 ;1,39461E+0 ;2,51583E+0 ;7,36000E-2 ;4,82155E-1 ;1,33438E+0 ;2,21604E+0 ;1,06847E-3 ;1,70656E-4 ;5,23998E-1 
96;9,60000E-3 ;9,03322E+0 ;1,48461E+0 ;1,39532E+0 ;2,51684E+0 ;7,36000E-2 ;4,82155E-1 ;1,33582E+0 ;2,21490E+0 ;1,06792E-3 ;1,70656E-4 ;5,25433E-1 
97;9,70000E-3 ;9,03322E+0 ;1,48665E+0 ;1,39389E+0 ;2,51888E+0 ;7,36000E-2 ;4,82155E-1 ;1,33080E+0 ;2,21718E+0 ;1,06902E-3 ;1,70656E-4 ;5,44072E-1 
98;9,80000E-3 ;9,03322E+0 ;1,48971E+0 ;1,38959E+0 ;2,52194E+0 ;7,36000E-2 ;4,82155E-1 ;1,33940E+0 ;2,22404E+0 ;1,07233E-3 ;1,70656E-4 ;5,36186E-1 
99;9,90000E-3 ;9,03322E+0 ;1,49124E+0 ;1,39030E+0 ;2,52347E+0 ;7,36000E-2 ;4,82155E-1 ;1,34084E+0 ;2,22289E+0 ;1,07178E-3 ;1,70656E-4 ;6,73834E-1 
100;1,00000E-2 ;9,03322E+0 ;1,49328E+0 ;1,39102E+0 ;2,52551E+0 ;7,36000E-2 ;4,82155E-1 ;1,33438E+0 ;2,22175E+0 ;1,07123E-3 ;1,70656E-4 ;8,78871E-1 
101;1,01000E-2 ;9,03322E+0 ;1,49480E+0 ;1,39461E+0 ;2,52703E+0 ;7,36000E-2 ;4,82155E-1 ;1,33725E+0 ;2,21604E+0 ;1,06847E-3 ;1,70656E-4 ;9,87842E-1 
102;1,02000E-2 ;9,03322E+0 ;1,49684E+0 ;1,39461E+0 ;2,52907E+0 ;7,36000E-2 ;4,82155E-1 ;1,33367E+0 ;2,21604E+0 ;1,06847E-3 ;1,70656E-4 ;9,64900E-1 
103;1,03000E-2 ;9,03322E+0 ;1,50041E+0 ;1,39245E+0 ;2,53264E+0 ;7,36000E-2 ;4,82155E-1 ;1,33725E+0 ;2,21946E+0 ;1,07012E-3 ;1,70656E-4 ;8,44459E-1 
104;1,04000E-2 ;9,03322E+0 ;1,50347E+0 ;1,39389E+0 ;2,53570E+0 ;7,36000E-2 ;4,82155E-1 ;1,33653E+0 ;2,21718E+0 ;1,06902E-3 ;1,70656E-4 ;7,56996E-1 
105;1,05000E-2 ;9,03322E+0 ;1,50449E+0 ;1,39245E+0 ;2,53672E+0 ;7,36000E-2 ;4,82155E-1 ;1,33797E+0 ;2,21946E+0 ;1,07012E-3 ;1,70656E-4 ;6,90322E-1 
106;1,06000E-2 ;9,03322E+0 ;1,50551E+0 ;1,39532E+0 ;2,53774E+0 ;7,36000E-2 ;4,82155E-1 ;1,33653E+0 ;2,21490E+0 ;1,06792E-3 ;1,70656E-4 ;6,30101E-1 
107;1,07000E-2 ;9,03322E+0 ;1,51366E+0 ;1,39389E+0 ;2,54589E+0 ;7,36000E-2 ;4,82155E-1 ;1,33582E+0 ;2,21718E+0 ;1,06902E-3 ;1,70656E-4 ;6,08595E-1 
108;1,08000E-2 ;9,03322E+0 ;1,51519E+0 ;1,39317E+0 ;2,54742E+0 ;7,36000E-2 ;4,82155E-1 ;1,33725E+0 ;2,21832E+0 ;1,06957E-3 ;1,70656E-4 ;5,70598E-1 
109;1,09000E-2 ;9,03322E+0 ;1,51468E+0 ;1,39532E+0 ;2,54691E+0 ;7,36000E-2 ;4,82155E-1 ;1,33582E+0 ;2,21490E+0 ;1,06792E-3 ;1,70656E-4 ;4,70947E-1 
110;1,10000E-2 ;9,03322E+0 ;1,52028E+0 ;1,39747E+0 ;2,55251E+0 ;7,36000E-2 ;4,82155E-1 ;1,33725E+0 ;2,21149E+0 ;1,06628E-3 ;1,70656E-4 ;3,82049E-1 
111;1,11000E-2 ;9,03322E+0 ;1,52843E+0 ;1,39389E+0 ;2,56066E+0 ;7,36000E-2 ;4,82155E-1 ;1,34012E+0 ;2,21718E+0 ;1,06902E-3 ;1,70656E-4 ;3,17527E-1 
112;1,12000E-2 ;9,03322E+0 ;1,52742E+0 ;1,39245E+0 ;2,55965E+0 ;7,36000E-2 ;4,82155E-1 ;1,34084E+0 ;2,21946E+0 ;1,07012E-3 ;1,70656E-4 ;2,55873E-1 
113;1,13000E-2 ;9,03322E+0 ;1,53047E+0 ;1,39676E+0 ;2,56270E+0 ;7,36000E-2 ;4,82155E-1 ;1,34155E+0 ;2,21263E+0 ;1,06683E-3 ;1,70656E-4 ;2,18592E-1 
